id,price_closed
138,329000
139,3000000
140,775000
141,550000
142,1090000
143,610000
144,1149000
145,590000
146,665000
147,375000
148,837500
149,550000
150,810000
151,355000
152,415000
153,570000
154,650000
155,335000
156,3750000
157,525000
158,512500
159,407000
160,335000
161,910000
162,390000
163,470000
164,421000
165,340000
166,317500
167,835000
168,550000
169,830000
170,4150000
171,465000
172,305000
173,935000
174,384000
175,1022000
176,500000
177,315000
178,550000
179,410000
180,340000
181,1000000
182,393900
183,485000
184,875000
185,2650000
186,815000
187,405000
188,352500
189,335000
190,314600
191,975000
192,365000
193,370000
194,560000
195,360000
196,400000
197,610000
198,425000
199,385000
200,1400000
201,410000
202,490000
203,403000
204,1450000
205,549000
206,493000
